                                     | Core 0    
  Instructions                       |  249999886
  Cycles                             |  629506940
  IPC                                |       0.40
  Time (ns)                          |  185149100
  Idle time (ns)                     |        -47
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   53315983
  num incorrect                      |    3823725
  misprediction rate                 |      6.69%
  mpki                               |      15.29
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   30402202
    num misses                       |          3
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   86708296
    num misses                       |   26455555
    miss rate                        |     30.51%
    mpki                             |     105.82
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   30402202
    num cache misses                 |         64
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L1-D                         |           
    num cache accesses               |   86708296
    num cache misses                 |   28934052
    miss rate                        |     33.37%
    mpki                             |     115.74
  Cache L2                           |           
    num cache accesses               |   30579539
    num cache misses                 |    3596972
    miss rate                        |     11.76%
    mpki                             |      14.39
DRAM summary                         |           
  num dram accesses                  |   20453860
  average dram access latency (ns)   |      99.33
  average dram queueing delay        |      35.52
  average dram bandwidth utilization |     55.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
