                                     | Core 0    
  Instructions                       |  249999921
  Cycles                             |  246482660
  IPC                                |       1.01
  Time (ns)                          |   72494900
  Idle time (ns)                     |        -51
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   39613355
  num incorrect                      |    1019958
  misprediction rate                 |      2.51%
  mpki                               |       4.08
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   31331210
    num misses                       |          4
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   81025657
    num misses                       |      97568
    miss rate                        |      0.12%
    mpki                             |       0.39
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   31331210
    num cache misses                 |         28
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L1-D                         |           
    num cache accesses               |   81025657
    num cache misses                 |    6242024
    miss rate                        |      7.70%
    mpki                             |      24.97
  Cache L2                           |           
    num cache accesses               |   10349992
    num cache misses                 |        172
    miss rate                        |      0.00%
    mpki                             |       0.00
DRAM summary                         |           
  num dram accesses                  |   10317427
  average dram access latency (ns)   |  558150.06
  average dram queueing delay        |  558086.25
  average dram bandwidth utilization |     71.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
