                                     | Core 0     
  Instructions                       |   249999896
  Cycles                             |  1097592760
  IPC                                |        0.23
  Time (ns)                          |   322821400
  Idle time (ns)                     |         -80
  Idle time (%)                      |       -0.0%
Branch predictor stats               |            
  num correct                        |    52030325
  num incorrect                      |     4014120
  misprediction rate                 |       7.16%
  mpki                               |       16.06
TLB Summary                          |            
  I-TLB                              |            
    num accesses                     |    34617991
    num misses                       |           3
    miss rate                        |       0.00%
    mpki                             |        0.00
  D-TLB                              |            
    num accesses                     |    95662568
    num misses                       |    22327499
    miss rate                        |      23.34%
    mpki                             |       89.31
Cache Summary                        |            
  Cache L1-I                         |            
    num cache accesses               |    34617991
    num cache misses                 |          64
    miss rate                        |       0.00%
    mpki                             |        0.00
  Cache L1-D                         |            
    num cache accesses               |    95662568
    num cache misses                 |    27354849
    miss rate                        |      28.60%
    mpki                             |      109.42
  Cache L2                           |            
    num cache accesses               |    29919262
    num cache misses                 |     4168738
    miss rate                        |      13.93%
    mpki                             |       16.67
DRAM summary                         |            
  num dram accesses                  |    20824423
  average dram access latency (ns)   |      236.45
  average dram queueing delay        |      167.64
  average dram bandwidth utilization |      64.00%
Coherency Traffic                    |            
  num loads from dram                |           0
  num loads from dram cache          |           0
  num loads from remote cache        |           0
