                                     | Core 0    
  Instructions                       |  249999884
  Cycles                             |  218363300
  IPC                                |       1.14
  Time (ns)                          |   64224500
  Idle time (ns)                     |        -49
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   43340918
  num incorrect                      |    4167673
  misprediction rate                 |      8.77%
  mpki                               |      16.67
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   47508668
    num misses                       |          4
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   54514937
    num misses                       |      92828
    miss rate                        |      0.17%
    mpki                             |       0.37
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   47508668
    num cache misses                 |         21
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L1-D                         |           
    num cache accesses               |   54514937
    num cache misses                 |    5938656
    miss rate                        |     10.89%
    mpki                             |      23.75
  Cache L2                           |           
    num cache accesses               |    8104808
    num cache misses                 |        157
    miss rate                        |      0.00%
    mpki                             |       0.00
DRAM summary                         |           
  num dram accesses                  |    8096793
  average dram access latency (ns)   |   73455.25
  average dram queueing delay        |   73391.45
  average dram bandwidth utilization |     63.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
