                                     | Core 0    
  Instructions                       |  249999887
  Cycles                             |  349041960
  IPC                                |       0.72
  Time (ns)                          |  102659400
  Idle time (ns)                     |        -51
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   88961971
  num incorrect                      |       4350
  misprediction rate                 |      0.00%
  mpki                               |       0.02
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   18639092
    num misses                       |          3
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   35643990
    num misses                       |   12208641
    miss rate                        |     34.25%
    mpki                             |      48.83
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   18639092
    num cache misses                 |          8
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L1-D                         |           
    num cache accesses               |   35643990
    num cache misses                 |   20029132
    miss rate                        |     56.19%
    mpki                             |      80.12
  Cache L2                           |           
    num cache accesses               |   20029142
    num cache misses                 |    2723313
    miss rate                        |     13.60%
    mpki                             |      10.89
DRAM summary                         |           
  num dram accesses                  |   10815155
  average dram access latency (ns)   |      73.43
  average dram queueing delay        |       9.62
  average dram bandwidth utilization |     52.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
