                                     | Core 0    
  Instructions                       |  249999888
  Cycles                             |  210598380
  IPC                                |       1.19
  Time (ns)                          |   61940700
  Idle time (ns)                     |        -74
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   20839705
  num incorrect                      |     507295
  misprediction rate                 |      2.38%
  mpki                               |       2.03
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   34422947
    num misses                       |        103
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   69104700
    num misses                       |     112228
    miss rate                        |      0.16%
    mpki                             |       0.45
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   34422947
    num cache misses                 |        480
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L1-D                         |           
    num cache accesses               |   69104700
    num cache misses                 |    3517865
    miss rate                        |      5.09%
    mpki                             |      14.07
  Cache L2                           |           
    num cache accesses               |    3551826
    num cache misses                 |     293885
    miss rate                        |      8.27%
    mpki                             |       1.18
DRAM summary                         |           
  num dram accesses                  |    3343201
  average dram access latency (ns)   |     984.30
  average dram queueing delay        |     915.49
  average dram bandwidth utilization |     54.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
