                                     | Core 0    
  Instructions                       |  249999886
  Cycles                             |  226055460
  IPC                                |       1.11
  Time (ns)                          |   66486900
  Idle time (ns)                     |        -90
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   41497693
  num incorrect                      |    2797669
  misprediction rate                 |      6.32%
  mpki                               |      11.19
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   40101134
    num misses                       |          4
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   61140910
    num misses                       |      94745
    miss rate                        |      0.15%
    mpki                             |       0.38
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   40101134
    num cache misses                 |         25
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L1-D                         |           
    num cache accesses               |   61140910
    num cache misses                 |    6061293
    miss rate                        |      9.91%
    mpki                             |      24.25
  Cache L2                           |           
    num cache accesses               |    8516191
    num cache misses                 |        158
    miss rate                        |      0.00%
    mpki                             |       0.00
DRAM summary                         |           
  num dram accesses                  |    8514390
  average dram access latency (ns)   |  164812.69
  average dram queueing delay        |  164748.88
  average dram bandwidth utilization |     64.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
