                                     | Core 0    
  Instructions                       |  249999886
  Cycles                             |  379783740
  IPC                                |       0.66
  Time (ns)                          |  111701100
  Idle time (ns)                     |        -19
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   41000538
  num incorrect                      |    3658911
  misprediction rate                 |      8.19%
  mpki                               |      14.64
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   40093720
    num misses                       |     291207
    miss rate                        |      0.73%
    mpki                             |       1.16
  D-TLB                              |           
    num accesses                     |   93626191
    num misses                       |     188671
    miss rate                        |      0.20%
    mpki                             |       0.75
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   40093720
    num cache misses                 |       8091
    miss rate                        |      0.02%
    mpki                             |       0.03
  Cache L1-D                         |           
    num cache accesses               |   93626191
    num cache misses                 |    1750084
    miss rate                        |      1.87%
    mpki                             |       7.00
  Cache L2                           |           
    num cache accesses               |    1866630
    num cache misses                 |     935928
    miss rate                        |     50.14%
    mpki                             |       3.74
DRAM summary                         |           
  num dram accesses                  |    2202632
  average dram access latency (ns)   |   23443.45
  average dram queueing delay        |   23374.64
  average dram bandwidth utilization |     19.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
